MAT;RAZONSOCIAL;DIRECCION;EST;PROPIETARIO;TELEFONO1
110284;COMERCIALIZADORA DE GRANOS E INSUMOS AGRICOLAS CLEMER            ;CL 16B 30A - 24 BRR PUPO                                                                                                           ;MA;ALTAMAR BARBOSA CLEIDER JAVIER                            ;3016083039
110285;DEKOLUX ELECTRICOS E ILUMINACION                                 ;C.C. VILLA LIGIA LC 16                                                                                                             ;MI;FOAL S.A.S.                                               ;5891159
110287;CIBERMAX                                                         ;CR 23 30 57 AP 02 1 DE MAYO                                                                                                        ;MA;SANCHEZ RIVERA ALVARO JAVIER                              ;3012214377
110288;LA CASA DEL DRYWALL                                              ;DG 1 7 46 LA FLORIDA                                                                                                               ;MA;RUIZ YERENA JAIME ENRIQUE                                 ;3107278601
110290;SINCRO AUTOS BUCARAMANGA                                         ;CL 21 6 31 SAN JORGE                                                                                                               ;MC;VERJEL CARDENAS GEOVANNY                                  ;3012687929
110292;DRAYWALL-TEC LOS CORTIJOS                                        ;CR  19  7C  32  LC  7                                                                                                              ;MA;PRADA VASQUEZ JONATHAN ENRIQUE                            ;3003625493
110294;CALZADO ELIZABETH D.                                             ;CL 16C 6 83 CENTRO                                                                                                                 ;MI;OSPINO PETRO EVA MARIA                                    ;             
110296;ANGELES SOPORT                                                   ;CR  7A  17 75 P 1  LC 121                                                                                                          ;MI;LOPEZ AROCHA LUIS EDUARDO                                 ;             
110299;TALLER MOTORES Y MAS                                             ;CR 6B  20 15                                                                                                                       ;MA;BARAJAS ALMEIDA JUVENAL                                   ;3168510150
110302;ALUD CAR                                                         ;TV 6  3 15                                                                                                                         ;MI;NIETO SANGUINO OSCAR ENRIQUE                              ;             
110304;FULL SERVY. NET                                                  ;CR 18E 1 22 55 BR PRIMERO DE MAYO                                                                                                  ;MI;DIAZ GARCIA FAUSTO ENRIQUE                                ;             
110307;DANISANCHEZ MULTISERVICIOS                                       ;MZ I CA 11B CONJUNTO CERRADO LA FONTANA                                                                                            ;MI;CUADRO PALOMINO JOHANA MARIA                              ;5822954
110308;SIERRA MOTORS LA JAGUA                                           ;TR 7 1 - 6 LC 02                                                                                                                   ;MC;GOMEZ ZEA JUAN CARLOS                                     ;5769245
110309;INVERSIONES SANTA FE A.P.T.                                      ;CL  19  15 70 BRR LA GRANJA                                                                                                        ;MA;INVERSIONES SANTA FE A.P.T. S.A.S                         ;5712243
110313;ORNAMENTALES EL COPEY LUZ                                        ;CR 14  12 9  BRR  EL BOSQUE                                                                                                        ;MA;NOVOA BARRIOS LUZ MERY                                    ;3156748610
110315;COMUNICACIONES PIBE                                              ;CL 11  19G 13                                                                                                                      ;MI;PABA GALVAN ELINIS BEATRIZ                                ;             
110317;FRUTERA LA HORMIGA                                               ;CL 35  23 06 BR SAN MARTIN                                                                                                         ;MA;NAVARRO TORRES ORANGEL                                    ;3154895968
110318;M.N.V. MINING GROUP                                              ;CR  17  9 48                                                                                                                       ;MI;M.N.V MINING GROUP S.A.S                                  ;             
110320;TALLER LEONARDO J.R.                                             ;CR 19  17  26                                                                                                                      ;MA;ALVAREZ MARTINEZ DANY DANILO                              ;5809352
110321;BIOSERVICE DEL CESAR                                             ;CR  13  11 40 AP 04                                                                                                                ;MI;BIOSERVICE DEL CESAR S.A.S                                ;             
110322;VALLEDUPAR 3 (HOMECENTER)                                        ;TV 19  30 150 LC 4                                                                                                                 ;MA;COMERCIAL ALLAN SAS                                       ;2715424
110325;TALLER LA POPA                                                   ;CL 14B 21 44                                                                                                                       ;MI;CARRASCAL CARRASCAL AMADO ANTONIO                         ;             
110326;BERACA CELL. COM                                                 ;CR 6B  20  02                                                                                                                      ;MA;YEPEZ ARAUJO LUIS EDUARDO                                 ;3167094947
110327;VARIEDADES MEDELLIN Y SU MODA                                    ;CR 14  8  49                                                                                                                       ;MA;SERNA GOMEZ JORGE IVAN                                    ;3014424893
110328;FERRETERIA LA ECONOMICA E                                        ;CR 16 21 - 15 BRR SIMON BOLIVAR                                                                                                    ;MA;SARABIA MENESES ADALUZ                                    ;5746576
110330;BESTT N? 2                                                       ;CR  7  16 42                                                                                                                       ;MA;PROYECTANDO MODA S.A.S.                                   ;5806666
110332;MOTO TALLER EL YUYO                                              ;CR 49  5H 04                                                                                                                       ;MI;RADA RUBIO JULIO CESAR                                    ;             
110333;INDUSTRIA MOLINERA DEL ORIENTE                                   ;CR  7A  33 40                                                                                                                      ;MA;INDUSTRIA MOLINERA DEL ORIENTE S.A.S.                     ;5747224
110335;REMONTADORA EVAS                                                 ;CL 17  9  56                                                                                                                       ;MI;VARGAS SUAREZ EDINSON ANTONIO                             ;             
110337;DAYANACEL                                                        ;CR 14  16A  30                                                                                                                     ;MI;CASTRO DE AVILA JOSE LUIS                                 ;             
110340;INVERSIONES INMOBILIARIAS CHANCINO                               ;CR  23  7B 58                                                                                                                      ;MI;INVERSIONES INMOBILIARIAS CHANCINO SAS                    ;5830463
110341;AIREX CAR`S                                                      ;CR 18D  20 50 BRR 1 DE MAYO                                                                                                        ;MA;ROMERO DIAZ MARCOS EDUARDO                                ;3006664378
110343;ESTANCO RIO DE ORO                                               ;CL 20A  18C  67 P1 LC 01                                                                                                           ;MI;CHINCHILLA CLARO VICTOR RAUL                              ;             
110345;MOVIL PHONE.COM                                                  ;DG 21  19 21  LC 2                                                                                                                 ;MI;ARDILA SILVA GIOVANNY                                     ;             
110347;TATTOO BIKES                                                     ;DG 21  19 21  LC 1                                                                                                                 ;MI;SANTOS LEON FERNEY ARIEL                                  ;             
110350;BILLAR LOS OLIVOS                                                ;BRR LA GRANJA                                                                                                                      ;MA;ESCORCIA GUETTE EVER ENRIQUE                              ;3205769819
110352;TRILLADORA NUEVO AMANECER C.P.                                   ;CL 25  17  127 LC 01                                                                                                               ;MA;CAPERA PALACIO RUTH MERY                                  ;3043649288
110354;GRANERO MI SALVADOR                                              ;CL 18  10 66 BRR EL CARMEN                                                                                                         ;MA;OSPINO MARTINEZ ERIKA PATRICIA                            ;3145972611
110356;GRANERO LA MARIANERA                                             ;CL 19  10 71 BRR EL CARMEN                                                                                                         ;MI;RAMOS RIVERA JUAN CARLOS                                  ;             
110358;EL BANQUE—O                                                      ;CL 16  7 20 P1 SEGE 3                                                                                                              ;MI;VILLALOBOS MIRANDA RUBEN DARIO                            ;             
110360;TAPICERIA EL YOR                                                 ;CR 12  19C  41 LC 1 BRR GAITAN                                                                                                     ;MI;CARO JIMENEZ JORGE ELIECER                                ;             
110364;CALZADO NEYMAR W.S.                                              ;CL 8  5  21                                                                                                                        ;MA;CASTA—O SOTO WILMAR ANDRES                                ;3215013592
110365;VARIEDADES ALEIN                                                 ;CR 8  16A 39                                                                                                                       ;MC;CHARRIS MEDINA LLANIRIS ESTHER                            ;3005729493
110370;SUPERTIENDA EL POMPI                                             ;CL  7A  21  04  BRR  LA  ESPERANZA                                                                                                 ;MA;TRIANA ARAQUE CIRO ALFONSO                                ;3168466886
110372;NO ASIGNADA                                                      ;CR                                                                                                                                 ;NA;REYES RICARDO ELIAS                                       ;             
110374;CONSTRUCCIONES E.R.                                              ;CR 11A N?? 11-71 SAN JOAQUIN                                                                                                       ;MA;ERINCO S.A.S.                                             ;5711671
110376;AVIGRANJA GENESIS                                                ;CRT VIA A LAS RAICES KM 500-99                                                                                                     ;MA;RAMOS MARTINEZ SHEILA PATRICIA                            ;3015049575
110379;FUNDACION MUNDO MUJER CODAZZI                                    ;CARRERA  17  N  23-27                                                                                                              ;MC;FUNDACION MUNDO MUJER                                     ;5765438
110382;BILLARES LA ACADEMIA J.C.                                        ;CL 5E  45 75                                                                                                                       ;MA;CAMARGO PATERNINA JAIDES ENRIQUE                          ;5833295
110384;CENTRO DE SOLUCIONES PAKISTAN LA 23                              ;CR 23  18B  11  BRR  LOS FUNDADORES                                                                                                ;MA;RIVERO LACOUTURE CARLOS ANDRES                            ;5800291
110385;ALMACEN CRISTO VIVE B.S.                                         ;CL 28  4G 108                                                                                                                      ;MA;PIMIENTA ROMERO BERTA SOFIA                               ;3103567893
110387;MOTO REPUESTOS GIRALDO                                           ;CR 4  3  34 BRR EL OASIS CRR DE ARJONA                                                                                             ;MI;MIRANDA YEPES ROCIO                                       ;             
110389;HELADERIA TICO NUEVO AMANECER                                    ;CL 9  4 41                                                                                                                         ;MC;RANGEL TOSCANO CARLOS ANDRES                              ;3182030674
110391;BODEGA NUEVO AMIGO                                               ;CL 9 4 - 41 APTO 01 CENTRO                                                                                                         ;MA;RANGEL TOSCANO JAIME                                      ;3165069179
110393;TIENDA ANSTERDAM                                                 ;CR 41  3C 05  BRR LAS ROCAS                                                                                                        ;MA;BONETT VELASQUEZ EVELIO                                   ;3215027811
110397;CAMBALACHE DEL CESAR                                             ;CL 21  18D 55                                                                                                                      ;MI;BACCA CHAVEZ PABLO                                        ;             
110398;ASOCIACION PISCICOLA CORREGIMIENTO LA MATA                       ;CR  21  CL  1 5 CRR LA MATA                                                                                                        ;MA;ASOCIACION PISCICOLA CORREGIMIENTO LA MATA S.A.S.         ;3225922400
110401;EMPRESA GANADERA ALASKA                                          ;CR  16  CL  18  44                                                                                                                 ;MC;EMPRESA GANADERA ALASKA S.A.S.                            ;0
110403;JURISCONTA                                                       ;CL  10  7A 46                                                                                                                      ;MI;JURISCONTA S.A.S.                                         ;             
110404;KEFG SOLUCIONES INTEGRALES                                       ;MZ  75  CA  4                                                                                                                      ;MA;KEFG SOLUCIONES INTEGRALES S.A.S.                         ;3116546307
110406;AUTORODAMIENTO DEL VALLE                                         ;CL 20  7A 13                                                                                                                       ;MI;VILLAREAL AVILA ALVARO                                    ;             
110409;PUNTO DE FABRICA FLEX                                            ;DG 21  24  50 AP 2                                                                                                                 ;MI;VIANA ORTEGA ISABEL MARIA                                 ;5842690
110411;ESTANCO LAS TRES HERMANAS                                        ;CL 6 CR 38 44 BRR LA NEVADA                                                                                                        ;MA;MAESTRE RODRIGUEZ MARIA TERESA                            ;3106515303
110414;RESTAURANTE LONDRES                                              ;CL 17  7A 69 SEC CENTRO                                                                                                            ;MC;ORTEGA LORA YASMIN ELENA                                  ;3008087766
110416;INGENIERIA, PROYECTOS Y SOLUCIONES                               ;CR 19  18 61  BRR EL CARMEN                                                                                                        ;MA;INGENIERIA, PROYECTOS Y SOLUCIONES S.A.S                  ;5778089
110417;SATEL NET TV COMUNICACIONES                                      ;CR  2  7 05                                                                                                                        ;MI;SATEL NET TV COMUNICACIONES LIMITADA                      ;             
110419;PAPELERIA EL RUBY                                                ;CR 22  17A  15                                                                                                                     ;MA;JIMENEZ COTES CLARA INES                                  ;5779505
110421;TIENDA LA FAMA J.C                                               ;BRR 20 DE MAYO                                                                                                                     ;MA;URIBE CHIMA JUAN CARLOS                                   ;3205536708
110423;AGUAS EL TORRI                                                   ;CR 12  CL 15 24                                                                                                                    ;MI;TORRIJO GONZALEZ OMAR RAFAEL                              ;             
110427;PROVISIONES DONDE ANCI                                           ;CL 7E 39 - 76 BRR DIVI?O NI?O                                                                                                      ;MC;BENJUMEA JIMENEZ ANCID EDUARDO                            ;3107476876
110429;SISTEMAS Y VARIEDADES X@RIT PAOLA                                ;CR 3  CL 3 28 CRR ARJONA                                                                                                           ;MA;HERRERA BRAVO WALMER SMITH                                ;3116780444
110431;SPORT CULTURES                                                   ;CL 55  27 39 BRR DON CARMELO SEGUNDA ETAPA                                                                                         ;MI;JIMENEZ HERNANDEZ UBER JENSER                             ;             
110437;MEDCARIBE                                                        ;CR  2  6 44 CRR CHIMILA                                                                                                            ;MA;MEDCARIBE IPS S.A.S.                                      ;3045348877
110439;QUESERA EMMANUEL                                                 ;TV 23  19A 47 LC 02                                                                                                                ;MA;VALLE CACERES VICTOR                                      ;3127695257
110441;TALLER Y CERRAJERIA HERNANDEZ                                    ;DG 16 18A 22                                                                                                                       ;MA;HERNANDEZ ESCORCIA PABLO EMILIO                           ;3114086091
110443;CIBER ROCK CAFE                                                  ;CL 19  10 21                                                                                                                       ;MI;COBO SARDOTH CARMEN MILENA                                ;             
110445;MASSING MANTENIMIENTO SERVICIO Y SOLUCIONES EN INGENIERIA        ;MZ 11 CA 5B  BRR LA CASTELLANA                                                                                                     ;MA;PINTO FERNANDEZ ELMER FRANZ                               ;3177705293
110447;CERAMICAS YANETH D.W                                             ;CR 16C  24  CONS 1                                                                                                                 ;MI;DIAZ WITT YANETH LUCIA                                    ;             
110450;VALERY.COM D.E.                                                  ;DG 21  29 55 AP 03                                                                                                                 ;MA;DOMINGUEZ ESCOBAR ELKIN JOSE                              ;5898076
110452;FERREDRIWALL LA 25                                               ;TV 25A  DG 16B 22 LC 101                                                                                                           ;MA;TEJADA TORRES LUZ MERY                                    ;5742273
110455;RESTAURANTE COOTRACESAR                                          ;CL 44  18D 16                                                                                                                      ;MA;GAMARRA ORTEGA FARIDES DEL CARMEN                         ;3157370916
110459;RESTAURANTE DONDE NERYS                                          ;CR 7A  23  149 BRR SAN VICENTE                                                                                                     ;MI;MARTINEZ ROJANO KAREN MARGARITA                           ;             
110461;VENTAS Y SUMINISTROS DEL CESAR EXODO                             ;CR 7A  18  04 CC GALERIA POPULAR LC G 30 Y 31                                                                                      ;MA;PUELLO TORRES LUIS EDUARDO                                ;5845738
110464;PROVISIONES MI BOSCONIA                                          ;CL 21  20 92 BRR EL CARMEN                                                                                                         ;MA;FERNANDEZ CARO ELENA LUCIA                                ;3182939057
110467;TRANSPORTE RAPIDO & LIGERO                                       ;CL  45  7 55 BRR SAN FERNANDO                                                                                                      ;MI;TRANSPORTE RAPIDO & LIGERO S.A.S.                         ;             
110470;MS & S DE COLOMBIA                                               ;CR 3  4B  27 CRR LOS CORAZONES                                                                                                     ;MI;DIAZ DIAZ ARNALDO ENRIQUE                                 ;             
110472;EL TORNO                                                         ;DG 21  28 57                                                                                                                       ;MI;OCHOA CASTRO LUIS CARLOS                                  ;5821609
110474;LA TERRAZA DE CLAUDIA                                            ;CL 8 CR 18 - 66 BRR SAN ROQUE                                                                                                      ;MI;BUELVAS MERCADO CLAUDIA PATRICIA                          ;             
110476;VARIEDADES LETIS                                                 ;CL 6  41  45                                                                                                                       ;MA;BELE—O VASQUEZ MYRIAM ENILSA                              ;3145702831
110478;SUMINISTRO & SERVICIO DE INTERVENTORIA                           ;CL  49  29 73 BRR DON CARMELO                                                                                                      ;MI;SUMINISTRO & SERVICIO DE INTERVENTORIA S.A.S              ;5843116
110481;"TALLER ""MOTO YA""                                                 ";DG 21 25 -15                                                                                                                       ;MI;BECERRA MARTINEZ LUIS ERNESTO                             ;5726370
110482;GUMAR MG                                                         ;CL  16  19A 19                                                                                                                     ;MA;GUMAR MG S.A.S                                            ;5857322
110484;EQUIPOS Y CONSTRUCCIONES COLOMBIA                                ;CL 16A  19B 70  BRR DANGOND                                                                                                        ;MA;INVERSIONES Y EQUIPOS COLOMBIA S.A.S. - IECOL S.A.S.      ;3012277780
110486;ALMACEN SLENDY                                                   ;CL 18  9  26                                                                                                                       ;MA;PEREIRA PEREZ ROSA TILIA                                  ;3158311699
110488;PUNTO FRIO LA 25 DE LOS FUNDADORES                               ;DG 16C  24A 64  BRR FUNDADORES                                                                                                     ;MA;BENITEZ NIEVES ERIKA PATRICIA                             ;3002580088
110490;DEPOSITO CAMPO ALEGRE                                            ;CL  33 16 35 SIMON BOLIVAR                                                                                                         ;MI;MANOSALVA ARIAS LUIS EVELIO                               ;             
110493;TALLER PARODY                                                    ;CR 13 41A 71 BR DOCE DE OCTUBRE                                                                                                    ;MA;PARODY RESTREPO JORGE ENRIQUE                             ;3017738590
110494;SERVISES, SERVICIOS EN SEGURIDAD SOCIAL                          ;CLL 16 Nro.  7 - 18CENTRO                                                                                                          ;MA;SERVISESS S.A.S.                                          ;3145305043
110496;VARIEDADES MARIA ALEJANDRA A.R.                                  ;CR 41  2A 5                                                                                                                        ;MI;ACOSTA RIOS MARIA ALEJANDRA                               ;             
110499;CONSULTORIO MEDICO BASILIO PADILLA                               ;TV 18B 20B 07                                                                                                                      ;MI;PADILLA VASQUEZ BASILIO                                   ;5736237
110500;MAREM.NET                                                        ;CR 20  22A 14 BRR PRIMERO DE MAYO                                                                                                  ;MA;HERNANDEZ TALEGUA MARELVIS INES                           ;5809170
110502;ICOPOR & DIBUJOS                                                 ;CL 14  11 67                                                                                                                       ;MA;MARRIAGA GARCIA MANUELA BELEN                             ;5891271
110504;CARNES LA SIERRA                                                 ;CR 4 8 - 124 DIVINO NI—O                                                                                                           ;MI;CARDONA HERNANDEZ NOLBERTO                                ;             
110506;FERROELECTRICOS ANGARITA                                         ;CL 20B  3 4E 05                                                                                                                    ;MI;ANGARITA ARDILA CARLOS ELIECER                            ;             
110509;BILLARES AMISTAD                                                 ;CR 31 16 -30                                                                                                                       ;MC;AVILA ORTIZ ANGELICA MARIA                                ;             
110510;J V VALLEDUPAR 1 (HOMECENTER)                                    ;TV  19  30 150 LC 150                                                                                                              ;MC;EXPERTOS EN CAFE SAS                                      ;             
110515;TALLER DE MOTOS KALETH                                           ;CR 17  30  67                                                                                                                      ;MI;NIEVES ZARATE OSCAR AVELINO                               ;             
110517;AVIGRANJA NAAMAN                                                 ;CRT VIA AL RINCON KM 1 520 GLPN 1                                                                                                  ;MA;PEREZ APONTE JORGE ARMANDO                                ;             
110519;FELIDDAR                                                         ;CR 6  3  55                                                                                                                        ;MI;DAZA ARZUAGA JUAN ANDRES                                  ;             
110521;GAMERS JEIKA                                                     ;CL 21  5E 36 AP 4 SICARARE                                                                                                         ;MI;RIVADENEIRA BRACHE KAREN EDITH                            ;5606270
110524;EXPENDIO LA MEZA 48                                              ;CL 39   22 39 BRR VILLA LEONOR                                                                                                     ;MA;MEZA CUETO JUAN BAUTISTA                                  ;5726339
110526;CLOSE TO YOU                                                     ;CL 11 19E2 48 BRR AMPARO                                                                                                           ;MA;OVIEDO MARTINEZ RUBY JHOANNA                              ;3015014488
110528;ESTADERO BRISAS DEL RIO DE MANAURE                               ;CR 6  1 03                                                                                                                         ;MC;ANGARITA SUAREZ GERMAN                                    ;3178729568
110531;JAVELIN SPORT LINE                                               ;CL 16B  7 39                                                                                                                       ;MA;SAJIN MHANNA WALID BASSAN                                 ;5840290
110532;CENTAURO'S CLASSIC                                               ;CL 16B 7A 29                                                                                                                       ;MA;SAJIN MHANNA WALID BASSAN                                 ;5844192
110534;FERRETERIA LA 44 H                                               ;CR 23A  39 74   BRR VILLA LEONOR                                                                                                   ;MA;DUARTE DURAN HELGAR                                       ;5747404
110536;EL ULTIMO INTENTO D.F                                            ;CL 20  4 61                                                                                                                        ;MA;DUARTE FREDY                                              ;3164539056
110538;ESTANCO Y ESTADERO EL JUNIORISTA DE VALLEUPAR                    ;CR 23  7  16                                                                                                                       ;MI;BLANCO GULLO ALFREDO ENRIQUE                              ;             
110541;PANOCHAS DO—A ENILDA                                             ;CL 6  CR 7 7 CRR RINCON HONDO                                                                                                      ;MA;MEJIA BALLESTEROS ENILDA                                  ;3116524822
110542;ZONA PLEY N.E                                                    ;CL 6  47  16                                                                                                                       ;MI;DE LEON CASTRILLO NAYIVIS ESTHER                          ;             
110546;HOSPEDAJE SANDOVAL                                               ;CL 18B  6  80  SEC CENTRO                                                                                                          ;MI;SANDOVAL RUA SORAIDA                                      ;             
110548;DONDE JUNIOR.COM                                                 ;DG 21  29 55                                                                                                                       ;MA;NAGED MARTINEZ AMIN                                       ;3002770448
110550;PROVISIONES JESUS DAVID                                          ;TV 26  16A 6                                                                                                                       ;MA;CUADROS SANGUINO MARIBEL                                  ;3215311490
110554;TIENDA RANCHO FRESCO                                             ;CL 1 CR 2  54 CRR CARACOLI                                                                                                         ;MI;CATALAN TROCHA DEISY MARGARITA                            ;             
110555;CALIMOTOS RASING DE EL COPEY                                     ;CR  14  5 136 LC 2                                                                                                                 ;MI;CALIMOTOS RACING DE EL COPEY S.A.S.                       ;             
110561;EL ARTE DE BAILAR SHEILA GUAL ACADEMIA                           ;CL  12  14 29                                                                                                                      ;MA;EL ARTE DE BAILAR SHEILA GUAL ACADEMIA S.A.S              ;5890544
110562;SARMIENTO DAZA                                                   ;DG  6A  13B 21 BRR AREMASAIN                                                                                                       ;MA;SARMIENTO DAZA S.A.S                                      ;5734040
110563;SUPERALVALLE                                                     ;DG  16  16 46 LC 19                                                                                                                ;MI;SUPER ALMACEN DE LA OFICINA VALLE S.A.S.                  ;5802550
110564;INSTITUTO OFTALMOLOGICO DEL CESAR DR. HECTOR MARQUEZ. I.P.S S.A.S;CR 15 16 80 CONSULTORIO 407                                                                                                        ;MA;INSTITUTO OFTALMOLOGICO DEL CESAR DR. HECTOR MARQUEZ I.P.S;3043490987
110565;EDIFICAR-CONSTRUCTORES ASOCIADOS                                 ;CR  11  11 07 OF 201                                                                                                               ;MA;EDIFICAR-CONSTRUCTORES ASOCIADOS S.A.S.                   ;5744278
110571;SOLUCIONES DE INGENIERIA PARA EL DESARROLLO URBANO Y RURAL       ;MZ B  CA  40  MIRADOR DE LA SIERRA I                                                                                               ;MA;SOLUCIONES INTEGRALES PARA EL DESARROLLO URBANO Y RURAL S.;5892586
110572;REPARACIONES Y SUMINISTROS KENNEDY                               ;CR  19B  11 68 P 1 LC 1                                                                                                            ;MA;REPARACIONES Y SUMINISTROS KENNEDY S.A.S.                 ;3157422147
110575;FESTEJAR F B                                                     ;CR 8  16B  29 SEC CENTRO                                                                                                           ;MC;BARRERA PEREZ FRANCY ELENA                                ;5881413
110577;PROVISIONES DONDE CHICHE                                         ;CR 18E1 26 4                                                                                                                       ;MC;PALLARES RANGEL HERNANDO                                  ;3212341405
110579;ASEOCAR DE LA 4TA                                                ;CR 4 24  35                                                                                                                        ;MI;MONTALVO PARRA JOSE GREGORIO                              ;             
110582;METALICAS LAS PUERTAS                                            ;CL 22  17  63 LC 1                                                                                                                 ;MI;RODRIGUEZ FLOREZ ELGUIN DIOSID                            ;             
110584;SALA DE BELLEZA INTEGRAL AURA PABA                               ;CL 13ABIS 6 10 P1 OF1  101B                                                                                                        ;MI;PABA GALVIS AURA ESTELA                                   ;             
110587;PROVISIONES VILLA OLIMPICA                                       ;TR 26  16 36 BRR VILLA CORELCA                                                                                                     ;MA;CORREA JAIMES ROSA ELENA                                  ;3138918666
110591;ESTADERO EL GALLITO                                              ;CL 21  4A  87 P1 AP 1                                                                                                              ;MA;LEON ORTIZ ENITH YOJANNA                                  ;3205317269
110592;SERVICIOS Y SUMINISTRO YC                                        ;CL 19  14  67                                                                                                                      ;MA;GOMEZ FUENTES JAVIER ENRIQUE                              ;3008339755
110593;SPA K & D                                                        ;MZ D CASA 4 BARRIO URB ROSAMERY                                                                                                    ;MA;NU—EZ ENAMORADO KRISTIL                                   ;3013672602
110595;CONSEYSATRA                                                      ;CR 19  12  25                                                                                                                      ;MI;CHICO CANON HERMIDES                                      ;             
110597;CAFETERIA YIRETH - GYM                                           ;CR 5A 19A  84  BRR KENNEDY                                                                                                         ;MI;PE—A SANDOVAL ALEIDA MARIA                                ;             
110602;MEGABASTO J Y L                                                  ;CR 27 33 15                                                                                                                        ;MA;RIOS VIRGELINA                                            ;3182557506
110604;SALA DE BELLEZA MI LUZ                                           ;CR 18D  24  47 AV SIMON BOLIVAR                                                                                                    ;MA;RODRIGUEZ RAMIREZ LUZ MIRYAN                              ;3168666086
110608;PROVISIONES NATHALY LA JAGUA                                     ;CR 3  7 02                                                                                                                         ;MI;MOLINA RUIZ NARLYS PAOLA                                  ;             
110614;SALA DE BELLEZA SOFIA P.J                                        ;MZ 3 CA 2 BRR LA NEVADA                                                                                                            ;MI;PINTO JIMENEZ SOLFIR MARIA                                ;5834505
110616;CONFECCIONES Y BORDADOS DALIA                                    ;CL 16B  CR 8  11 P2 LC A 203                                                                                                       ;MI;MENDOZA PERALTA DALIA ROSA                                ;5716146
110619;OUTSOURCING SEASIN LTDA                                          ;CR  13  6B 44 BRR LOS ANGELES                                                                                                      ;MA;SERVICIOS DE ASEO, CAFETERIA Y MANTENIMIENTO INSTITUCIONAL;5836880
110622;LA MANO DE DIOS L.M.                                             ;SEC 1 MZ 15 9 BRR CIUDADELA 450 A?OS                                                                                               ;MA;PEREZ LEIVA LUIS MODESTO                                  ;3206661680
110623;DR REINALDO ARGUELLO VERGARA                                     ;CR 19  9C  32 BRR LOS CORTIJOS                                                                                                     ;MA;ARGUELLO VERGARA REINALDO ESTEBAN                         ;5890749
110624;ADMINISTRACION DE MODELOS ESPECIALES EN SALUD S A S              ;CL 16D  20 50 BRR DANGOND                                                                                                          ;MA;ADMINISTRACION DE MODELOS ESPECIALES EN SALUD A M E S S A ;5802834
110629;INVERSIONES MARCOS TULIO MENA ANAYA CIA                          ;CR  18  14 50                                                                                                                      ;MA;INVERSIONES MARCOS TULIO MENA ANAYA CIA S. EN C.          ;3135719024
110631;ASADERO LAS DELICIAS D'DORIS C.O.                                ;DG 20  18C  22 LC 1 BRR LAS DELICIAS                                                                                               ;MI;DE LA CRUZ OROZCO DORIS EDITH                             ;             
110632;LOLLIPOPS                                                        ;CR  19  9B 26 AV. SIMON BOLIVAR                                                                                                    ;MC;CAROPRESE MAURNO S.A.S                                    ;3205621563
110636;BILLARES LA TERRACITA                                            ;CR 1 CL 2  115 VARAS BLANCAS                                                                                                       ;MI;MANJARRES ARMENTA RUBYS LEONOR                            ;             
110641;CERAMICAS NNCY                                                   ;CR 19  16 151 BRR LAS DELICIAS                                                                                                     ;MA;RAMOS MINA NANCI                                          ;5747420
110643;ECO GREEN                                                        ;CL  10  16 56                                                                                                                      ;MA;ECO GREEN S.A.S                                           ;5726298
110644;CASA DE EVENTOS ISABELLA                                         ;CL 13C  9 49                                                                                                                       ;MA;ESCORCIA DIAZ LEVIS DEL CARMEN                            ;5706737
110647;CONFECCIONES YISNOREY                                            ;CL 6  40 06 BRR LA NEVADA                                                                                                          ;MA;CA—IZARES MORA LAID                                       ;5832816
110652;TIENDA KATIRE BOSCONIA                                           ;LOTE 352 BRR URIBE VELEZ                                                                                                           ;MI;REYES ESCOBAR JOSE RANULFO                                ;             
110661;JIMENA CASTRO ACCESORIOS                                         ;CL 10  8 70 LC 102                                                                                                                 ;MA;CASTRO PRIETO JIMENA                                      ;5804439
